Mapping parameters for Cerastoderma edule (common edible cockle)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, version 10/2019. "

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas:  27 |  34 |  37 ,
Bounding Box (NSWE): ,71,14,-17,33

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,5,26,50
Temperature (°C),1,5.95,8.88,18.62,22.88
Salinity (psu),1,5.05,23.54,36.41,39.22
Primary Production (mgC·m-3·day-1) ,1,0.4,2.12,24.68,98.91
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0.04
Dissolved Bottom Oxygen (mmol·m-3),0,182.09,237.67,304.3,408.48
Distance to Land (km),0,0,2,21,207
 

Map data (HSPEC) for predicted occurrences (n = 1598): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Cerastoderma,edule,38.75,1.25,1300:381:3,0.06
Cerastoderma,edule,38.75,1.75,1300:381:4,0.04
Cerastoderma,edule,39.25,0.25,1300:390:1,0.18
Cerastoderma,edule,39.75,0.75,1300:390:4,0.19
Cerastoderma,edule,39.25,1.25,1300:391:1,0.07
Cerastoderma,edule,39.25,1.75,1300:391:2,0.05
Cerastoderma,edule,39.25,2.75,1300:392:2,0.04
Cerastoderma,edule,39.75,2.25,1300:392:3,0.06
Cerastoderma,edule,39.75,2.75,1300:392:4,0.05
Cerastoderma,edule,39.25,3.25,1300:393:1,0.03
Cerastoderma,edule,39.75,3.25,1300:393:3,0.03
Cerastoderma,edule,39.75,3.75,1300:393:4,0.04
Cerastoderma,edule,39.75,4.25,1300:394:3,0.06
Cerastoderma,edule,36.75,8.75,1300:468:4,0.17
Cerastoderma,edule,37.25,8.25,1300:478:1,0.14
Cerastoderma,edule,37.25,8.75,1300:478:2,0.14
Cerastoderma,edule,37.75,8.75,1300:478:4,0.02
Cerastoderma,edule,37.75,9.25,1300:479:3,0.03
Cerastoderma,edule,38.75,8.25,1300:488:3,0.02
Cerastoderma,edule,38.75,8.75,1300:488:4,0.05
Cerastoderma,edule,38.75,9.25,1300:489:3,0.02
Cerastoderma,edule,39.25,8.25,1300:498:1,0.04
Cerastoderma,edule,39.25,8.75,1300:498:2,0.07
Cerastoderma,edule,39.75,8.25,1300:498:3,0.06
Cerastoderma,edule,39.75,8.75,1300:498:4,0.08
Cerastoderma,edule,39.25,9.25,1300:499:1,0.09
Cerastoderma,edule,39.25,9.75,1300:499:2,0.07
Cerastoderma,edule,39.75,9.75,1300:499:4,0.07
Cerastoderma,edule,32.75,12.25,1301:122:3,0.03
Cerastoderma,edule,32.75,12.75,1301:122:4,0.03
Cerastoderma,edule,32.75,13.25,1301:123:3,0.02
Cerastoderma,edule,32.75,13.75,1301:123:4,0.02
Cerastoderma,edule,32.25,14.75,1301:124:2,0.02
Cerastoderma,edule,32.75,14.25,1301:124:3,0.01
Cerastoderma,edule,32.75,14.75,1301:124:4,0.01
Cerastoderma,edule,33.75,10.25,1301:130:3,0.05
Cerastoderma,edule,33.75,10.75,1301:130:4,0.04
Cerastoderma,edule,33.25,11.25,1301:131:1,0.03
Cerastoderma,edule,33.25,11.75,1301:131:2,0.03
Cerastoderma,edule,33.75,11.25,1301:131:3,0.03
Cerastoderma,edule,33.75,11.75,1301:131:4,0.02
Cerastoderma,edule,33.25,12.25,1301:132:1,0.02
Cerastoderma,edule,33.25,12.75,1301:132:2,0.02
Cerastoderma,edule,33.75,12.25,1301:132:3,0.01
Cerastoderma,edule,33.25,13.25,1301:133:1,0.01
Cerastoderma,edule,34.25,10.25,1301:140:1,0.05
Cerastoderma,edule,34.25,10.75,1301:140:2,0.04
Cerastoderma,edule,34.75,10.25,1301:140:3,0.01
Cerastoderma,edule,34.75,10.75,1301:140:4,0.08
Cerastoderma,edule,34.25,11.25,1301:141:1,0.02
Cerastoderma,edule,34.25,11.75,1301:141:2,0.01
Cerastoderma,edule,34.75,11.25,1301:141:3,0.07
Cerastoderma,edule,34.75,11.75,1301:141:4,0.03
Cerastoderma,edule,34.75,12.25,1301:142:3,0.02
Cerastoderma,edule,34.75,12.75,1301:142:4,0.01
Cerastoderma,edule,30.75,17.75,1301:207:4,0.03
Cerastoderma,edule,30.25,18.75,1301:208:2,0.03
Cerastoderma,edule,30.75,18.25,1301:208:3,0.03
Cerastoderma,edule,30.75,18.75,1301:208:4,0.01
Cerastoderma,edule,30.25,19.25,1301:209:1,0.03
Cerastoderma,edule,30.25,19.75,1301:209:2,0.03
Cerastoderma,edule,30.75,19.75,1301:209:4,0.02
Cerastoderma,edule,31.25,15.75,1301:215:2,0.02
Cerastoderma,edule,31.75,15.25,1301:215:3,0.02
Cerastoderma,edule,31.75,15.75,1301:215:4,0.01
Cerastoderma,edule,31.25,16.25,1301:216:1,0.01
Cerastoderma,edule,31.25,16.75,1301:216:2,0.01
Cerastoderma,edule,31.25,17.25,1301:217:1,0.01
Cerastoderma,edule,31.25,17.75,1301:217:2,0.01
Cerastoderma,edule,31.25,18.25,1301:218:1,0.01
Cerastoderma,edule,31.25,19.75,1301:219:2,0.01
Cerastoderma,edule,31.75,19.75,1301:219:4,0.01
Cerastoderma,edule,32.25,15.25,1301:225:1,0.01
Cerastoderma,edule,32.25,15.75,1301:225:2,0.01
Cerastoderma,edule,32.25,19.75,1301:229:2,0.01
Cerastoderma,edule,35.25,10.75,1301:350:2,0.04
Cerastoderma,edule,35.75,10.75,1301:350:4,0.11
Cerastoderma,edule,35.25,11.25,1301:351:1,0.08
Cerastoderma,edule,35.25,11.75,1301:351:2,0.03
Cerastoderma,edule,35.75,11.25,1301:351:3,0.06
Cerastoderma,edule,35.75,11.75,1301:351:4,0.03
Cerastoderma,edule,35.25,12.25,1301:352:1,0.03
Cerastoderma,edule,35.25,12.75,1301:352:2,0.02
Cerastoderma,edule,35.75,12.25,1301:352:3,0.03
Cerastoderma,edule,35.75,12.75,1301:352:4,0.02
Cerastoderma,edule,35.75,14.25,1301:354:3,0.03
Cerastoderma,edule,35.75,14.75,1301:354:4,0.03
Cerastoderma,edule,36.25,10.25,1301:360:1,0.06
Cerastoderma,edule,36.25,10.75,1301:360:2,0.13
Cerastoderma,edule,36.75,10.75,1301:360:4,0.15
Cerastoderma,edule,36.25,11.25,1301:361:1,0.02
Cerastoderma,edule,36.75,11.25,1301:361:3,0.03
Cerastoderma,edule,36.75,11.75,1301:361:4,0.03
Cerastoderma,edule,36.75,12.25,1301:362:3,0.03
Cerastoderma,edule,36.25,14.25,1301:364:1,0.05
Cerastoderma,edule,36.75,14.25,1301:364:3,0.10
Cerastoderma,edule,36.75,14.75,1301:364:4,0.08
Cerastoderma,edule,37.25,10.75,1301:370:2,0.08
Cerastoderma,edule,37.25,11.25,1301:371:1,0.02
Cerastoderma,edule,37.25,12.75,1301:372:2,0.02
Cerastoderma,edule,37.75,12.25,1301:372:3,0.03
Cerastoderma,edule,37.75,12.75,1301:372:4,0.04
Cerastoderma,edule,37.25,13.25,1301:373:1,0.06
Cerastoderma,edule,37.25,13.75,1301:373:2,0.06
Cerastoderma,edule,37.75,13.25,1301:373:3,0.04
Cerastoderma,edule,37.25,14.25,1301:374:1,0.07
Cerastoderma,edule,38.25,12.25,1301:382:1,0.03
Cerastoderma,edule,38.25,12.75,1301:382:2,0.05
Cerastoderma,edule,38.25,13.25,1301:383:1,0.03
Cerastoderma,edule,38.25,13.75,1301:383:2,0.02
Cerastoderma,edule,38.25,14.25,1301:384:1,0.03
Cerastoderma,edule,38.25,14.75,1301:384:2,0.03
Cerastoderma,edule,38.75,14.25,1301:384:3,0.02
Cerastoderma,edule,38.75,14.75,1301:384:4,0.02
Cerastoderma,edule,36.75,15.25,1301:465:3,0.06
Cerastoderma,edule,37.25,15.25,1301:475:1,0.06
Cerastoderma,edule,37.75,15.25,1301:475:3,0.06
Cerastoderma,edule,37.75,15.75,1301:475:4,0.07
